"#""Step""",Time (ps),Potential Energy (kJ/mole),Temperature (K),Box Volume (nm^3),Density (g/mL),Speed (ns/day)
25250,0.5000000000175646,-697416.1737307438,298.5298937241905,520.7735812335318,1.0242698612088286,0.0
25500,1.0000000000163993,-697672.2435353799,299.3592697411552,521.000884231258,1.023822991314784,0.891
25750,1.500000000015234,-697744.5988458317,296.76833190955875,521.000884231258,1.023822991314784,0.902
26000,2.000000000014083,-698049.5917286093,300.23789593830656,521.000884231258,1.023822991314784,0.901
26250,2.5000000000129035,-697118.1537437229,298.3987448390487,521.5189723865989,1.0228059035518242,0.908
26500,3.000000000011738,-696187.8704603509,299.75445535391145,520.011177244003,1.025771573984847,0.911
26750,3.5000000000105587,-695352.6585774771,298.87478712590644,520.011177244003,1.025771573984847,0.914
27000,4.000000000009393,-696435.0712154749,300.44311295034703,520.011177244003,1.025771573984847,0.916
27250,4.500000000008242,-697722.8896896031,302.4291653848283,520.3070454541383,1.0251882776365575,0.916
27500,5.000000000007077,-695968.207377319,300.6870395328088,520.5080060510104,1.0247924673016826,0.916
27750,5.500000000005926,-695646.0857595371,299.57549387992435,520.3859561289313,1.0250328193698126,0.916
28000,6.000000000004761,-695544.4247955888,300.5157910033063,519.6877133969729,1.0264100343735416,0.916
28250,6.500000000003581,-697197.7568489853,300.2185975541488,519.5824584141247,1.026617960505022,0.914
28500,7.000000000002416,-695500.5370842583,298.3422612278342,519.5824584141247,1.026617960505022,0.914
28750,7.500000000001236,-695814.8128665558,301.77239010147736,519.8551521272061,1.0260794407607805,0.91
29000,8.000000000000085,-696180.8573567255,300.8639960669235,520.4458097881501,1.0249149358862593,0.909
29250,8.49999999999892,-697542.0301306127,302.00719379558484,519.7774087353515,1.026232912025011,0.908
29500,8.999999999997755,-695664.5968905865,299.6341431196265,521.1023787680185,1.023623582437638,0.908
29750,9.499999999996604,-697049.5347097219,300.98294862041496,521.0400610099601,1.0237460105032068,0.908
30000,9.999999999995424,-695710.9793379958,298.85546611792626,520.7208621494705,1.0243735608545306,0.909
30250,10.499999999994259,-696622.5575995282,299.5008191604651,521.1327925280092,1.0235638428810347,0.909
30500,10.999999999993094,-696302.5720403465,298.4161664833014,521.1541663027933,1.0235218640876769,0.909
30750,11.499999999991914,-696459.1687298471,300.33813791550074,522.0431531118003,1.0217789096394088,0.91
31000,11.999999999990763,-696649.0548190384,301.01343419232404,521.617181195438,1.0226133321544804,0.91
31250,12.499999999989598,-696530.9390923161,298.8831206533975,520.7993297096724,1.024219220997564,0.907
31500,12.999999999988447,-698289.4573542224,300.351054641759,520.0963535158378,1.025603583192688,0.907
31750,13.499999999987281,-696941.9829396831,300.37228090216803,520.0834792084006,1.0256289713012638,0.906
32000,13.999999999986102,-697165.4077718927,300.4793814639536,520.0671447406363,1.025661184648212,0.903
