smiles,logP,qed,SAS
C[C@H](SC1=Nc2ccccc2[C@H]2CC=NN12)C(=O)Nc1ccccc1,4.1807,0.8679,3.2811
CC[C@@H]1C[NH+]2CCCC[C@@H]2CN1Cc1ccc(F)cc1F,1.9964,0.9007,4.5088
NC(=O)c1csc(CNc2cccc(O)c2)c1,2.1647,0.7783,2.2526
CC(C)(C)c1ncc(NC(=O)CCCOc2ccc3c(c2)CCC(=O)N3)cn1,3.4565,0.7306,2.4846
Cc1ccc(OCC(=O)NCc2ccnc(OC3CCCC3)c2)cc1,3.4066,0.8222,2.0527
CCC[C@H](C)N(C)S(=O)(=O)c1c(C)cc(N)cc1C,2.6947,0.8418,2.841
CC[C@H](C#N)OC(=O)[C@H](C)Oc1cccc(C(C)C)c1,3.4227,0.731,3.1303
Cc1ccc2c(c1)CCN2C(=O)Cc1cc(C)on1,2.4232,0.8286,2.23
[NH3+]CCCNC(=O)c1ccc(Br)nc1,0.2059,0.6139,2.9404
COc1ccccc1CN(C(=O)CC[C@H]1[NH+]=c2ccc(C)c(C)c2=[NH+]1)C1CC1,-0.9765,0.6826,3.9682
Cc1cc(Br)cc(N)c1Oc1ncccc1C(F)(F)F,4.5458,0.7757,2.5122
CCSc1nncn1/N=C/c1ccc(COc2cccc(Cl)c2C)o1,4.4061,0.4319,2.7488
Cc1cc(-c2cnc(NC3CC3)nc2C2CCN(C(=O)Cc3ccccc3O)CC2)on1,3.6686,0.5946,2.7075
O=C(C[C@H](O)c1ccccc1)Nc1ccc(OC[C@@H]2CCCO2)cc1,3.3066,0.7965,2.6668
C[NH2+][C@H](Cc1cc(Br)ccc1OC)C(C)(C)OC,1.987,0.8753,3.7062
CC[NH2+][C@H]1CCCC[C@@H](C[C@@H]2CSc3ccccc32)C1,3.7982,0.8092,4.4473
CCC(=O)Nc1ccc(NC(=O)NCc2ccc(N3CCCCCC3)[nH+]c2)cc1,3.5513,0.6811,2.8372
COc1cccc2ccc(CN3CC[C@@H](c4nc(-c5cccs5)no4)C3)nc12,4.3444,0.4822,2.8806
COc1cccc(CN2CCC[C@@](O)(C[NH2+]C3CCCCCC3)C2=O)c1,1.8349,0.7651,3.5506
COc1cccc(-c2nc(C[NH+]3CCNC(=O)[C@H]3Cc3ccccc3)c(C)o2)c1OC,1.7932,0.6115,3.9812
C[C@H](Nc1ccc(S(=O)(=O)N2CCCCC2)cn1)[C@@H](C)CO,1.685,0.8373,3.0992
CSc1nnnn1-c1cccc(NC(=O)NCCC(C)C)c1,2.5518,0.7975,2.237
Nc1cc(C(F)(F)F)ccc1N1CCc2ccccc2C1,3.8503,0.7833,2.1112
C/[NH+]=C(/NCc1n[nH]c(-c2ccco2)n1)N1CC[C@@H](Cc2cnn(C)c2)C1,-0.4812,0.4309,4.0184
COc1ccccc1CN(CCO)C(=O)N[C@H](C)c1ccc(C)cc1,3.2687,0.7982,2.4157
CC(C)(C)OC(=O)c1nc([O-])n(-c2ccc(Br)cc2)n1,2.0587,0.7862,2.7904
O=C1CCC[C@H]1[C@@H]1CCC[NH+]1CC1CCC1,1.203,0.7705,4.947
CC[NH2+][C@]1(C(=O)[O-])CCC[C@H]1CC[NH+]1CCC[C@@H](CC)C1,-1.0465,0.6625,6.1218
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3Cl)s2)n1,4.5249,0.4615,2.329
O=C(Cc1cc(F)ccc1F)NCC(=O)Nc1cccc2ccccc12,3.4154,0.7227,1.8944
COc1ccc(NC(=O)CNC(=O)c2cccc(Br)c2)c(OC)c1,2.8348,0.7861,1.7549
Cc1cc(Cl)ccc1OCCCNS(=O)(=O)N1CCOCC1,1.5839,0.7665,2.1695
C[C@@]1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)NCc2cccs2)C1=O,2.4849,0.7849,2.6213
Cc1nc(C)c(CNC(=O)N2CCC[C@@H](C(C)C)CC2)s1,3.7276,0.8981,2.8247
C[C@@H]1CC[C@@H](C(N)=O)CN1C(=O)c1nnn[n-]1,-1.4452,0.7118,4.4921
CNC(=O)c1ccc(CN(Cc2ccco2)C(=O)[C@@H]2CCOC2)cc1,2.2045,0.876,2.6876
COc1ccc(OC)c([C@H]2CCCN2C(=O)CN2C(=O)N[C@](C)(c3ccc4c(c3)OCO4)C2=O)c1,2.5632,0.6309,3.2287
CC[NH2+]CC(=O)Nc1ccc2c(c1)OCO2,-0.0629,0.7737,3.0264
CCOc1cc(C[NH+]2CCC[C@@H](n3cccn3)C2)cc(Cl)c1OC,2.3638,0.8699,4.2578
CCN(Cc1ccc(C[NH3+])cn1)Cc1cccs1,1.9071,0.8692,2.8873
C/C(=N/N1CCN(c2ccc(Cl)cc2)CC1)c1cccc([N+](=O)[O-])c1,3.7944,0.4593,2.2609
CCCC(=O)Nc1cccc(C(=O)Nc2ccccn2)c1,3.0725,0.8749,1.7031
CCOC[C@@H]1CCN(C(=O)[C@H](C)Sc2nncn2C)C1,1.1807,0.7473,3.2367
CCOc1ccc(S(=O)(=O)N2CCC[C@H](c3nc4ccccc4s3)C2)cc1OCC,4.662,0.5045,2.6834
CC(C)c1nc(OCC(=O)[O-])cc(-c2ccccn2)n1,0.7907,0.8123,2.8563
CCCN(C/C(N)=N/O)C[C@@H]1COc2ccccc21,1.621,0.357,3.1692
Cc1nc(Cc2nnc(SCC(=O)Nc3ccccc3C)o2)cs1,3.4645,0.6635,2.2768
COc1ccc(-c2nc(CNS(=O)(=O)c3cccc(F)c3)cs2)cc1,3.4363,0.6986,2.0316
CCc1cc(C[NH+]2C[C@H]3CC[C@@H]2CN(Cc2ccccn2)C3)on1,1.3113,0.9096,5.2035
C[C@H](NC(=O)Nc1ccccc1)C(=O)N1CC[C@H](Nc2ccccc2)C1,2.9096,0.768,2.6452
Cc1cccc(C)c1OC1CCN(C(=O)c2ccc(=O)n(C)n2)CC1,2.0807,0.861,2.3168
O=C(CC1CCN(C(=O)Nc2cccc(Cl)c2)CC1)NC[C@@H]1CCCO1,3.2692,0.8107,2.5906
C[C@@](O)(CNC(=O)N[C@H]1CCCC[C@@H]1n1cccn1)c1ccco1,2.1667,0.7848,3.8696
Cc1ccc(NC(=O)c2cnc(N3CCCC3)nc2)cc1F,2.7766,0.9411,1.9931
CCNC(=O)[C@@]1(Cc2ccccc2-c2ccncc2)CCCN(C(=O)Cc2cccnc2)C1,3.6737,0.5894,3.0223
O=C(NCc1cc[nH+]c(N2CCCC2)c1)Nc1cnn(CC(F)F)c1,1.8842,0.8396,3.4226
C[C@@H]1OCC[C@H]1C(=O)N1CCCC[C@@H]1CCl,2.0313,0.7005,3.6678
Cc1oc(C)c(C(=O)NCc2ccc(C[NH+]3CCCC3)cc2)c1C,2.3136,0.8865,3.3761
C[C@@H](CNc1ncccc1S(N)(=O)=O)c1ccsc1,2.0061,0.8882,2.9889
COc1cc(NS(=O)(=O)c2ccc3c(c2)C[C@@H](C)N3C(=O)C2CC2)cc(OC)c1,3.1922,0.7702,2.7648
O=C(N[C@H](Cc1ccccc1)C(=O)N1CCN(c2ccccc2F)CC1)c1ccc(Cl)cc1,4.169,0.5711,2.3962
C[C@H]1OCC[C@H]1C(=O)N[C@@H]1CCO[C@@H]1c1ccc(Cl)c(F)c1,2.8503,0.9216,3.9215
CC(=O)Nc1c(C)cc([N-]S(=O)(=O)c2cnc(Cl)c(C)c2)cc1C,4.0128,0.7979,3.3674
O[C@@H](CN1CCN(c2ccccc2F)CC1)c1ccc2c(c1)OCCCO2,2.8426,0.8879,2.6256
C[C@@H](CNC(=O)N1CCC[C@@H]([NH+](C)C)C1)c1ccc(F)c(F)c1,1.3868,0.871,3.905
COc1ccc2c(c1)=C(CCN1C[C@@H](C(=O)N3CCc4ccccc43)CC1=O)C[NH+]=2,-0.6124,0.7536,3.7236
[NH3+][C@@H]1CCCC[C@H](Cc2ccc(O)cc2)C1,2.1255,0.7397,3.4512
COc1ccc(CNC(=O)N(C2CC2)[C@@H](C)C2CC2)cc1Br,3.9302,0.8,2.7862
Cc1nc([C@@](C)([NH3+])C2(C)CC2)no1,0.6352,0.7426,4.284
O=C(Nc1nccs1)[C@H]1CCC[NH+]1C1CCC(c2ccc(O)cc2)CC1,2.5609,0.7711,4.2288
COC(=O)c1cc(N2CCOCC2)ccc1NC(=O)c1ccc(OC)cc1,2.5707,0.8136,1.8998
COCCCNC(=O)N1CCC[C@@H]1c1cccc(Br)c1,3.3321,0.8198,2.5071
